Term,CRN,Subject,Course Number,Section,Title,Credits,Campus,Instructional Method,Schedule Type,Enrollment,Max Enrollment,Seats Available,Waitlist Count,Waitlist Capacity,Instructor,Days,Start Time,End Time,Building,Room,Start Date,End Date
Spring 2026,40072,ACC,200,01,Princ of Financial Accounting,3,Online,T,Lecture,33,35,2,0,5,Wafeek Abdelsayed,,,,Online Course,ASYN,01/21/2026,05/17/2026
Spring 2026,40073,ACC,200,02,Princ of Financial Accounting,3,Main Campus,T,Lecture,34,35,1,0,5,David Allen,Mon,1400,1515,School of Business,105,01/21/2026,05/17/2026
Spring 2026,40074,ACC,200,03,Princ of Financial Accounting,3,Main Campus,T,Lecture,33,35,2,0,5,Carly Whitmer,Tue,1815,1930,School of Business,204,01/21/2026,05/17/2026
Spring 2026,40075,ACC,200,04,Princ of Financial Accounting,3,Online,T,Lecture,33,35,2,0,5,Janet Phillips,,,,Online Course,ASYN,01/21/2026,05/17/2026
Spring 2026,40076,ACC,200,05,Princ of Financial Accounting,3,Main Campus,T,Lecture,35,35,0,0,5,Komal Warren,Tue Thu,1225,1340,School of Business,302,01/21/2026,05/17/2026
Spring 2026,41675,ACC,200,06,Princ of Financial Accounting,3,Main Campus,T,Lecture,31,35,4,0,5,Carly Whitmer,Wed,1525,1640,School of Business,304,01/21/2026,05/17/2026
Spring 2026,40078,ACC,210,01,Managerial Accounting,3,Main Campus,,Lecture,26,35,9,0,5,Wafeek Abdelsayed,Thu,1350,1505,School of Business,202,01/21/2026,05/17/2026
Spring 2026,40079,ACC,210,02,Managerial Accounting,3,Online,,Lecture,35,35,0,0,5,Esther Shin,,,,Online Course,ASYN,01/21/2026,05/17/2026
Spring 2026,40080,ACC,210,03,Managerial Accounting,3,Online,,Lecture,34,35,1,0,5,Emmanuel Emenyonu,,,,Online Course,ASYN,01/21/2026,05/17/2026
Spring 2026,40081,ACC,210,04,Managerial Accounting,3,Main Campus,,Lecture,29,35,6,0,5,James Aselta,Mon Wed,1525,1640,School of Business,204,01/21/2026,05/17/2026
Spring 2026,42133,ACC,210,05,Managerial Accounting,3,Online,,Lecture,33,35,2,0,5,Esther Shin,,,,Online Course,ASYN,01/21/2026,05/17/2026
Spring 2026,40082,ACC,310,01,Intermediate Accounting I,3,Main Campus,,Lecture,10,30,20,0,5,Komal Warren,Tue Thu,1650,1805,School of Business,204,01/21/2026,05/17/2026
Spring 2026,41511,ACC,310,02,Intermediate Accounting I,3,Main Campus,,Lecture,30,35,5,0,5,Komal Warren,Tue Thu,1100,1215,School of Business,303,01/21/2026,05/17/2026
Spring 2026,40083,ACC,311,01,Intermediate Accounting II,3,Main Campus,,Lecture,33,40,7,0,5,David Allen,Mon Wed,1650,1805,School of Business,304,01/21/2026,05/17/2026
Spring 2026,41840,ACC,312,01,Intermediate Accounting III,3,Main Campus,T,Lecture,32,40,8,0,5,David Allen,Mon Wed,1525,1640,School of Business,302,01/21/2026,05/17/2026
Spring 2026,40084,ACC,350,01,Federal Income Taxation,3,Main Campus,,Lecture,30,30,0,0,5,Frank Bevvino,Mon,1400,1515,School of Business,202,01/21/2026,05/17/2026
Spring 2026,42927,ACC,351,01,Advanced Studies in Taxation,3,Main Campus,,Lecture,22,25,3,0,0,Frank Bevvino,Wed,1400,1515,School of Business,202,01/21/2026,05/17/2026
Spring 2026,40086,ACC,352,01,Income Tax Practicum,3,Main Campus,T,Practicum,10,10,0,0,5,Anna Rivera-Alfaro,Wed,1700,1930,School of Business,105,01/21/2026,05/17/2026
Spring 2026,40087,ACC,370,01,Accounting Information Systems,3,Online,,Lecture,39,40,1,0,5,Emmanuel Emenyonu,,,,Online Course,ASYN,01/21/2026,05/17/2026
Spring 2026,40088,ACC,410,01,Advanced Accounting,3,Main Campus,,Lecture,34,35,1,0,5,Wafeek Abdelsayed,Thu,1525,1640,School of Business,303,01/21/2026,05/17/2026
Spring 2026,40089,ACC,424,01,International Accounting,3,Online,,Lecture,31,35,4,0,5,Emmanuel Emenyonu,,,,Online Course,ASYN,01/21/2026,05/17/2026
