Term,CRN,Subject,Course Number,Section,Title,Credits,Campus,Instructional Method,Schedule Type,Enrollment,Max Enrollment,Seats Available,Waitlist Count,Waitlist Capacity,Instructor,Days,Start Time,End Time,Building,Room,Start Date,End Date
Fall 2026,10887,ACC,200,01,Princ of Financial Accounting,3,Online,T,Lecture,0,30,30,0,5,Wafeek Abdelsayed,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,10888,ACC,200,02,Princ of Financial Accounting,3,Main Campus,T,Lecture,0,30,30,0,5,TBA Staff,Mon,1400,1525,School of Business,104,08/25/2026,12/13/2026
Fall 2026,10889,ACC,200,03,Princ of Financial Accounting,3,Main Campus,T,Lecture,0,30,30,0,5,TBA Staff,Tue Thu,1225,1340,School of Business,202,08/25/2026,12/13/2026
Fall 2026,10890,ACC,200,04,Princ of Financial Accounting,3,Main Campus,T,Lecture,0,30,30,0,5,TBA Staff,Wed,1650,1805,School of Business,105,08/25/2026,12/13/2026
Fall 2026,11149,ACC,200,05,Princ of Financial Accounting,3,Main Campus,T,Lecture,0,30,30,0,5,TBA Staff,Thu,1100,1215,School of Business,202,08/25/2026,12/13/2026
Fall 2026,11676,ACC,200,06,Princ of Financial Accounting,3,Main Campus,T,Lecture,0,25,25,0,0,David Allen,Wed,1815,1930,School of Business,202,08/25/2026,12/13/2026
Fall 2026,11705,ACC,200,07,Princ of Financial Accounting,3,Online,T,Lecture,0,30,30,0,5,TBA Staff,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,12447,ACC,200,08,Princ of Financial Accounting,3,Online,T,Lecture,0,30,30,0,5,TBA Staff,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,10891,ACC,210,01,Managerial Accounting,3,Online,,Lecture,0,30,30,0,5,Esther Shin,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,10892,ACC,210,02,Managerial Accounting,3,Online,,Lecture,0,30,30,0,5,Esther Shin,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,10893,ACC,210,03,Managerial Accounting,3,Main Campus,,Lecture,0,30,30,0,5,James Aselta,Wed,1525,1640,School of Business,105,08/25/2026,12/13/2026
Fall 2026,10896,ACC,210,04,Managerial Accounting,3,Main Campus,,Lecture,0,30,30,0,5,James Aselta,Mon,1525,1640,School of Business,105,08/25/2026,12/13/2026
Fall 2026,11234,ACC,210,05,Managerial Accounting,3,Main Campus,,Lecture,0,30,30,0,5,Wafeek Abdelsayed,Thu,1350,1505,School of Business,202,08/25/2026,12/13/2026
Fall 2026,10894,ACC,310,01,Intermediate Accounting I,3,Main Campus,,Lecture,0,30,30,0,5,TBA Staff,Mon Wed,1525,1640,School of Business,203,08/25/2026,12/13/2026
Fall 2026,10895,ACC,310,02,Intermediate Accounting I,3,Main Campus,,Lecture,0,30,30,0,5,TBA Staff,Tue Thu,1650,1805,School of Business,202,08/25/2026,12/13/2026
Fall 2026,10897,ACC,311,01,Intermediate Accounting II,3,Main Campus,,Lecture,0,40,40,0,5,David Allen,Mon Wed,1650,1805,School of Business,202,08/25/2026,12/13/2026
Fall 2026,11498,ACC,312,01,Intermediate Accounting III,3,Main Campus,T,Lecture,0,30,30,0,5,David Allen,Mon Wed,1525,1640,School of Business,204,08/25/2026,12/13/2026
Fall 2026,11499,ACC,340,01,Data Analytics for Accounting,3,Online,T,Lecture,0,25,25,0,5,Hanyong Chung,Mon Wed,1110,1200,Online Course,SYNC,08/25/2026,12/13/2026
Fall 2026,10898,ACC,350,01,Federal Income Taxation,3,Main Campus,,Lecture,0,30,30,0,5,Frank Bevvino,Tue,1525,1640,School of Business,303,08/25/2026,12/13/2026
Fall 2026,10899,ACC,351,01W,*Advanced Studies in Taxation,3,Main Campus,,Lecture,0,20,20,0,5,Frank Bevvino,Thu,1525,1640,School of Business,203,08/25/2026,12/13/2026
Fall 2026,10900,ACC,370,01,Accounting Information Systems,3,Online,,Lecture,0,25,25,0,5,Emmanuel Emenyonu,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,12266,ACC,370,02,Accounting Information Systems,3,Online,,Lecture,0,25,25,0,5,Hanyong Chung,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,10901,ACC,410,01,Advanced Accounting,3,Main Campus,,Lecture,0,30,30,0,0,Wafeek Abdelsayed,Thu,1525,1640,School of Business,202,08/25/2026,12/13/2026
Fall 2026,10902,ACC,424,01,International Accounting,3,Online,,Lecture,0,30,30,0,5,Emmanuel Emenyonu,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,11502,ACC,461,01,Auditing,3,Main Campus,,Lecture,0,30,30,0,5,James Aselta,Mon Wed,1650,1805,School of Business,407,08/25/2026,12/13/2026
Fall 2026,12742,AFR,100,01,Intro to Africana Studies,3,Main Campus,T,Lecture,0,30,30,0,5,Brandon Hutchinson; Siobhan Carter-David (she/her/hers),Mon,1700,1930,Engleman Hall,B210,08/25/2026,12/13/2026
Fall 2026,10115,ANT,101,01,Cultural Anthropology,3,Main Campus,,Lecture,0,30,30,0,5,TBA Staff,Tue Thu,0935,1050,Engleman Hall,C020,08/25/2026,12/13/2026
Fall 2026,10116,ANT,101,02,Cultural Anthropology,3,Online,,Lecture,0,25,25,0,5,Joseph Manzella,,,,Online Course,ASYN,08/25/2026,12/13/2026
Fall 2026,11206,ANT,101,03,Cultural Anthropology,3,Main Campus,,Lecture,0,30,30,0,5,Claudia Bosch,Tue Thu,1225,1340,Engleman Hall,C020,08/25/2026,12/13/2026
Fall 2026,12372,ANT,101,04,Cultural Anthropology,3,Main Campus,,Lecture,0,30,30,0,5,Brenna Pisanelli,Mon Wed,1525,1640,Engleman Hall,C020,08/25/2026,12/13/2026
Fall 2026,10117,ANT,102,01,Biological Anthropology,3,Main Campus,,Lecture,0,23,23,0,5,Blaire Hensley-Marschand,Mon Fri,0910,1000,Engleman Hall,C013,08/25/2026,12/13/2026
Fall 2026,10118,ANT,102,02,Biological Anthropology,3,Main Campus,,Lecture,0,23,23,0,5,Blaire Hensley-Marschand,Mon Fri,1010,1100,Engleman Hall,C013,08/25/2026,12/13/2026
Fall 2026,11311,ANT,102,03,Biological Anthropology,3,Main Campus,,Lecture,0,23,23,0,5,Sierra Bell,Mon Wed Fri,1110,1200,Engleman Hall,C013,08/25/2026,12/13/2026
Fall 2026,11397,ANT,102,04,Biological Anthropology,3,Main Campus,,Lecture,0,23,23,0,5,TBA Staff,Tue Thu,1100,1215,Engleman Hall,C013,08/25/2026,12/13/2026
Fall 2026,11448,ANT,102,05,Biological Anthropology,3,Main Campus,,Lecture,0,23,23,0,5,TBA Staff,Tue Thu,0810,0925,Engleman Hall,C013,08/25/2026,12/13/2026
Fall 2026,11449,ANT,102,06,Biological Anthropology,3,Main Campus,,Lecture,0,23,23,0,5,Sierra Bell,Mon Wed Fri,1210,1300,Engleman Hall,C013,08/25/2026,12/13/2026
